1,2018-04-15,2018,April,4,Sunday,15
2,2018-04-16,2018,April,4,Monday,16
3,2018-04-17,2018,April,4,Tuesday,17
4,2018-04-14,2018,April,4,Saturday,14
5,2018-04-13,2018,April,4,Friday,13
6,2018-04-12,2018,April,4,Thursday,12
7,2018-04-11,2018,April,4,Wednesday,11
8,2018-04-10,2018,April,4,Tuesday,10
9,2018-03-12,2018,March,3,Monday,12
10,2018-03-08,2018,March,3,Thursday,8
11,2018-02-27,2018,February,2,Tuesday,27
12,2018-02-21,2018,February,2,Wednesday,21
13,2018-03-01,2018,March,3,Thursday,1
14,2018-02-28,2018,February,2,Wednesday,28
15,2018-03-02,2018,March,3,Friday,2
16,2018-03-06,2018,March,3,Tuesday,6
17,2018-03-07,2018,March,3,Wednesday,7
18,2018-03-04,2018,March,3,Sunday,4
19,2018-03-09,2018,March,3,Friday,9
20,2018-02-22,2018,February,2,Thursday,22
21,2018-02-23,2018,February,2,Friday,23
22,2018-02-12,2018,February,2,Monday,12
23,2018-02-13,2018,February,2,Tuesday,13
24,2018-02-20,2018,February,2,Tuesday,20
25,2018-02-26,2018,February,2,Monday,26
26,2018-02-25,2018,February,2,Sunday,25
27,2018-01-30,2018,January,1,Tuesday,30
28,2018-03-11,2018,March,3,Sunday,11
29,2018-02-09,2018,February,2,Friday,9
30,2018-02-15,2018,February,2,Thursday,15
31,2018-03-03,2018,March,3,Saturday,3
32,2018-02-16,2018,February,2,Friday,16
33,2018-03-10,2018,March,3,Saturday,10
34,2018-03-13,2018,March,3,Tuesday,13
35,2018-02-02,2018,February,2,Friday,2
36,2018-02-06,2018,February,2,Tuesday,6
37,2018-02-01,2018,February,2,Thursday,1
38,2018-01-31,2018,January,1,Wednesday,31
39,2018-02-19,2018,February,2,Monday,19
40,2018-02-07,2018,February,2,Wednesday,7
41,2018-02-08,2018,February,2,Thursday,8
42,2018-02-14,2018,February,2,Wednesday,14
43,2018-02-18,2018,February,2,Sunday,18
44,2018-02-05,2018,February,2,Monday,5
45,2018-01-18,2018,January,1,Thursday,18
46,2018-03-05,2018,March,3,Monday,5
47,2018-02-24,2018,February,2,Saturday,24
48,2017-12-21,2017,December,12,Thursday,21
49,2018-01-29,2018,January,1,Monday,29
50,2018-01-03,2018,January,1,Wednesday,3
51,2018-01-09,2018,January,1,Tuesday,9
52,2018-01-17,2018,January,1,Wednesday,17
53,2017-09-21,2017,September,9,Thursday,21
54,2018-02-17,2018,February,2,Saturday,17
55,2018-02-11,2018,February,2,Sunday,11
56,2018-02-03,2018,February,2,Saturday,3
57,2017-08-31,2017,August,8,Thursday,31
58,2018-02-10,2018,February,2,Saturday,10
59,2018-01-22,2018,January,1,Monday,22
60,2017-11-30,2017,November,11,Thursday,30
61,2018-01-05,2018,January,1,Friday,5
62,2017-12-18,2017,December,12,Monday,18
63,2018-01-11,2018,January,1,Thursday,11
64,2018-01-24,2018,January,1,Wednesday,24
65,2018-01-19,2018,January,1,Friday,19
66,2018-01-15,2018,January,1,Monday,15
67,2018-01-16,2018,January,1,Tuesday,16
68,2018-01-04,2018,January,1,Thursday,4
69,2018-01-26,2018,January,1,Friday,26
70,2018-01-08,2018,January,1,Monday,8
71,2017-12-28,2017,December,12,Thursday,28
72,2018-01-10,2018,January,1,Wednesday,10
73,2018-02-04,2018,February,2,Sunday,4
74,2018-01-25,2018,January,1,Thursday,25
